domain,file,cluster,occupation,age,gender,location
Movie / film,Nemotron_DC5AA468.yaml,2,actor,21,Male,Indianapolis
Movie / film,Nemotron_19D95E15.yaml,2,actor,47,Male,Panama City
Movie / film,Nemotron_6A6A08DC.yaml,2,actor,36,Female,Conway
Movie / film,Nemotron_0346F0E6.yaml,1,television_video_or_film_camera_operator_or_editor,37,Female,Las Vegas
Movie / film,Nemotron_E6799456.yaml,1,producer_or_director,48,Male,Columbus
Movie / film,Nemotron_1944D891.yaml,2,actor,31,Male,Winter Park
Movie / film,Nemotron_DCE8F389.yaml,6,producer_or_director,50,Male,Los Angeles
Movie / film,Nemotron_9D5DF1B5.yaml,6,not_in_workforce,12,Female,Summerville
Movie / film,Nemotron_00CD8716.yaml,2,actor,32,Female,Arvada
Movie / film,Nemotron_57A28E83.yaml,1,producer_or_director,50,Female,Nederland
Movie / film,Nemotron_D50EF2A3.yaml,1,television_video_or_film_camera_operator_or_editor,40,Male,Elgin
Movie / film,Nemotron_2BE10849.yaml,6,not_in_workforce,14,Male,Madison
Movie / film,Nemotron_2017902D.yaml,2,producer_or_director,25,Female,San Jose
Movie / film,Nemotron_9629F49C.yaml,1,entertainment_attendant_or_related_worker,69,Male,Charleston
Movie / film,Nemotron_9E860CAA.yaml,1,television_video_or_film_camera_operator_or_editor,78,Female,Wautoma
Movie / film,Nemotron_7D403154.yaml,5,speech_language_pathologist,42,Female,Signal Mountain
Movie / film,Nemotron_B8D234CC.yaml,2,news_analyst_reporter_or_journalist,29,Male,Costa Mesa
Movie / film,Nemotron_BB6ED2CF.yaml,6,photographic_process_worker_or_processing_machine_operator,54,Female,Hammond
Movie / film,Nemotron_6B254FA2.yaml,1,management_analyst,91,Male,Grand Junction
Movie / film,Nemotron_C5DFFE4E.yaml,6,no_occupation,18,Male,Hitchita
Movie / film,Nemotron_9F25BDD3.yaml,2,actor,39,Female,Champaign
Movie / film,Nemotron_0D387DAA.yaml,3,computer_support_specialist,63,Male,Canton
Movie / film,Nemotron_81EE4579.yaml,5,entertainer_or_performer_or_sports_worker,46,Female,Streator
Movie / film,Nemotron_E23BC63A.yaml,6,graphic_designer,39,Female,Dyer
Movie / film,Nemotron_61FA31AA.yaml,3,photographer,23,Female,Medford
Movie / film,Nemotron_F4E81C14.yaml,4,broadcast_sound_or_lighting_technician,29,Male,Springfield
Movie / film,Nemotron_2856A50C.yaml,4,software_developer,57,Male,Hebron
Movie / film,Nemotron_A414C4A9.yaml,3,project_management_specialist,34,Male,Sterling
Movie / film,Nemotron_ED5FAE08.yaml,3,operations_research_analyst,42,Female,Waxhaw
