domain,cluster,size,representative_user,common_occupations,example_users,silhouette
Movie / film,1,8,Nemotron_33E2F5CD.yaml,"television_video_or_film_camera_operator_or_editor, producer_or_director, entertainment_attendant_or_related_worker",Nemotron_0346F0E6.yaml; Nemotron_E6799456.yaml; Nemotron_57A28E83.yaml; Nemotron_D50EF2A3.yaml; Nemotron_9629F49C.yaml,0.11437911857411823
Movie / film,2,9,Nemotron_1944D891.yaml,"actor, producer_or_director, news_analyst_reporter_or_journalist",Nemotron_DC5AA468.yaml; Nemotron_19D95E15.yaml; Nemotron_6A6A08DC.yaml; Nemotron_1944D891.yaml; Nemotron_00CD8716.yaml,0.11437911857411823
Movie / film,3,7,Nemotron_A414C4A9.yaml,"computer_support_specialist, photographer, project_management_specialist",Nemotron_0D387DAA.yaml; Nemotron_61FA31AA.yaml; Nemotron_A414C4A9.yaml; Nemotron_ED5FAE08.yaml; Nemotron_59D510FC.yaml,0.11437911857411823
Movie / film,4,9,Nemotron_6F8EDDD9.yaml,"broadcast_sound_or_lighting_technician, software_developer, coach_or_scout",Nemotron_F4E81C14.yaml; Nemotron_2856A50C.yaml; Nemotron_F0730CE1.yaml; Nemotron_6F8EDDD9.yaml; Nemotron_2348BEB1.yaml,0.11437911857411823
Movie / film,5,8,Nemotron_F6D7E39D.yaml,"speech_language_pathologist, entertainer_or_performer_or_sports_worker, musician_or_singer",Nemotron_7D403154.yaml; Nemotron_81EE4579.yaml; Nemotron_07CE6779.yaml; Nemotron_8114965E.yaml; Nemotron_F6D7E39D.yaml,0.11437911857411823
Movie / film,6,9,Nemotron_E7B2C813.yaml,"not_in_workforce, producer_or_director, photographic_process_worker_or_processing_machine_operator",Nemotron_DCE8F389.yaml; Nemotron_9D5DF1B5.yaml; Nemotron_2BE10849.yaml; Nemotron_BB6ED2CF.yaml; Nemotron_C5DFFE4E.yaml,0.11437911857411823
Beauty,1,15,Nemotron_B9703EB5.yaml,"hairdresser_hairstylist_or_cosmetologist, personal_appearance_worker, skincare_specialist",Nemotron_B9703EB5.yaml; Nemotron_4DA88E6F.yaml; Nemotron_314682AC.yaml; Nemotron_C60AB24F.yaml; Nemotron_EC9DA548.yaml,0.20939201156741702
Beauty,2,6,Nemotron_B6BD82BB.yaml,manicurist_or_pedicurist,Nemotron_B6BD82BB.yaml; Nemotron_F6736C89.yaml; Nemotron_F174C00B.yaml; Nemotron_F109DED6.yaml; Nemotron_29BC246C.yaml,0.20939201156741702
Beauty,3,7,Nemotron_EF4FC311.yaml,"not_in_workforce, fashion_designer, personal_appearance_worker",Nemotron_2CE5BEBC.yaml; Nemotron_EF4FC311.yaml; Nemotron_743E4506.yaml; Nemotron_E6118485.yaml; Nemotron_32D739C3.yaml,0.20939201156741702
Beauty,4,12,Nemotron_CEE8984B.yaml,"barber, massage_therapist, acupuncturist",Nemotron_F02E0666.yaml; Nemotron_B107ABF7.yaml; Nemotron_9DEC91B7.yaml; Nemotron_2AE05228.yaml; Nemotron_52FB1870.yaml,0.20939201156741702
Beauty,5,10,Nemotron_E45A72A7.yaml,"personal_care_or_service_worker, personal_service_manager, software_developer",Nemotron_6D759C33.yaml; Nemotron_607B7E76.yaml; Nemotron_6D574DD4.yaml; Nemotron_85B24790.yaml; Nemotron_3CD94D4C.yaml,0.20939201156741702
Game,1,13,Nemotron_7839EDCD.yaml,"not_in_workforce, no_occupation",Nemotron_713EDCBF.yaml; Nemotron_1473E563.yaml; Nemotron_7427AC68.yaml; Nemotron_36A000EC.yaml; Nemotron_7BD9AE09.yaml,0.20327141129942153
Game,2,11,Nemotron_080AE97F.yaml,coin_vending_or_amusement_machine_servicer_or_repairer,Nemotron_30B017A3.yaml; Nemotron_F28427DA.yaml; Nemotron_C40FB0BD.yaml; Nemotron_B0EFB547.yaml; Nemotron_BC95D407.yaml,0.20327141129942153
Game,3,14,Nemotron_7997C4ED.yaml,"gambling_services_worker, security_guard_or_gambling_surveillance_officer, gambling_cage_worker",Nemotron_B93650F2.yaml; Nemotron_7997C4ED.yaml; Nemotron_EC4738D0.yaml; Nemotron_1BD8BE19.yaml; Nemotron_00024B04.yaml,0.20327141129942153
Game,4,12,Nemotron_93A40CC7.yaml,"no_occupation, computer_occupation, not_in_workforce",Nemotron_8A485D4A.yaml; Nemotron_528B6C30.yaml; Nemotron_31259C2D.yaml; Nemotron_9148C057.yaml; Nemotron_4E954075.yaml,0.20327141129942153
Finance,1,9,Nemotron_6D97E519.yaml,"tax_preparer, bookkeeping_accounting_or_auditing_clerk, budget_analyst",Nemotron_381C6F79.yaml; Nemotron_64A61EDB.yaml; Nemotron_1BE6B639.yaml; Nemotron_8ABF798C.yaml; Nemotron_2A2DC2F3.yaml,0.0924493524926488
